3548298;491735;1
3548298;4325;3
3548298;363752;5
3548298;227443;5
3548298;4629117;0
3548298;8492856;4
3548298;13505629;5
3548298;8442457;0
3548298;11607446;0
3548298;24284;4
3548298;7883058;4
3548298;7325537;4
3548298;34497;0
3548298;12881778;4
3548298;11857408;0
3548298;10818853;0
3548298;8419552;0
3548298;13409499;4
3548298;10048876;3
3548298;6304335;3
3548298;11058389;3
3548298;310740;0
3548298;835155;0
3548298;22772;0
3548298;226315;0
3548298;571585;0
3548298;340722;0
3548298;33723;0
3548298;26209;0
3548298;162308;0
3548298;162089;3
3548298;11870085;4
3548298;97632;3
3548298;14748;4
3548298;3609760;4
3548298;7351574;4
3548298;12033455;4
3548298;10407279;5
3548298;6816880;4
3548298;12063158;0
3548298;1832749;0
3548298;11254250;4
3548298;6261081;0
3548298;10143483;4
3548298;6574102;4
3548298;7129468;0
3548298;9305616;0
3548298;1217100;4
3548298;5107;3
3548298;9794437;2
3548298;8792472;4
3548298;7933292;4
3548298;82192;4
3548298;43448;2
3548298;7981206;4
3548298;18373;3
3548298;28187;3
3548298;7260188;3
3548298;6148028;4
3548298;2767052;4
3548298;28881;0
3548298;7823678;4
3548298;5161066;5
3548298;2233407;4
3548298;140075;4
3548298;27126;2
3548298;140079;4
3548298;170210;0
3548298;140077;4
3548298;140082;4
3548298;301082;4
3548298;110494;4
3548298;7091488;5
3548298;5961090;4
3548298;6072105;4
3548298;6072107;4
3548298;288845;4
3548298;3025266;5
3548298;1176884;4
3548298;307791;5
3548298;7763;3
3548298;24929;4
3548298;2318271;3
3548298;228333;3
3548298;48855;3
3548298;14935;3
3548298;11;4
3548298;5139;2
3548298;2642070;5
3548298;310459;2
3548298;71801;5
3548298;670204;5
3548298;71802;4
3548298;71803;3
3548298;3882;4
3548298;33353;5
3548298;10412;5
3548298;1193;5
3548298;1191;5
3548298;1192;5
3548298;93722;5
3548298;2068676;3
3548298;85993;4
3548298;207687;3
3548298;93726;5
3548298;199782;5
3548298;93723;5
3548298;93731;4
3548298;23217;4
3548298;93729;4
3548298;23219;5
3548298;93728;5
3548298;23220;4
3548298;439275;5
3548298;38980;5
3548298;6853;5
3548298;76620;2
3548298;1885;3
3548298;2657;3
3548298;3636;5
3548298;1656001;1
3548298;178813;4
3548298;7455;3
3548298;6614;3
3548298;6613;5
3548298;33729;3
3548298;854757;3
3548298;9420;3
3548298;9417;3
3548298;33724;2
3548298;9418;4
3548298;9416;4
3548298;9419;4
3548298;6980443;4
3548298;5899779;0
3548298;763047;4
3548298;31100;3
3548298;22686;4
3548298;31099;4
3548298;2071575;2
3548298;31106;2
3548298;31098;4
3548298;22649;4
3548298;31101;4
3548298;227941;5
3548298;121749;4
3548298;18131;4
3548298;37442;5
3548298;21787;4
3548298;84119;4
3548298;140225;4
3548298;65641;4
3548298;84369;4
3548298;100915;4
3548298;65605;4
3548298;157993;4
3548298;13023;5
3548298;12873;5
3548298;370493;5
3548298;30119;5
3548298;7613;3
3548298;5129;3
3548298;71135;5
3548298;32234;5
3548298;30118;5
3548298;30120;5
3548298;30122;5
3548298;6578293;4
3548298;3293821;4
3548298;1809465;4
3548298;389627;5
3548298;3950967;2
3548298;15881;5
3548298;2;5
3548298;1;5
3548298;6;5
3548298;5;5
3548298;136251;5
3548298;3;5
3548298;1162543;5
3548298;428263;5
3548298;49041;5
3548298;968;3
3548298;41865;5
3249352;11297;0
3249352;214614;0
3249352;37381;0
3249352;6665737;0
3249352;13268400;0
